,distance,width,movement_time
1719,40,8,488
206,210,6,936
2371,210,20,843
2293,40,6,443
2575,120,8,1007
3591,60,8,594
729,210,8,1296
2152,60,20,417
3031,40,20,466
1138,40,20,470
71,60,14,528
2017,40,8,486
1121,75,14,431
4809,210,18,784
660,210,14,847
4056,75,10,661
2094,75,6,504
3606,75,6,918
4975,210,20,607
5713,210,18,544
3454,75,14,554
5611,160,6,816
5962,160,20,715
4135,75,20,545
1979,160,10,1504
4447,160,6,841
1884,160,14,579
744,160,14,1045
5834,75,14,553
265,210,14,1209
797,40,18,582
174,40,6,616
1923,210,20,791
1483,75,18,538
34,210,20,978
2455,60,14,517
3578,40,6,727
2317,120,8,799
2534,120,18,769
4589,40,6,479
2686,75,20,423
3133,40,8,704
5347,75,6,904
1271,75,10,622
1827,40,20,247
2211,60,10,537
3916,160,18,728
3378,160,20,576
3015,75,10,849
138,75,8,640
1228,75,6,624
4976,210,20,626
400,210,10,1120
4412,120,20,626
4353,210,14,892
5702,40,20,238
1894,210,10,614
2133,120,10,705
4565,160,18,574
3120,120,10,1262
3913,160,18,689
3136,40,8,449
2107,210,10,1784
928,75,20,794
3849,210,14,810
4529,75,8,750
5213,40,6,453
4301,60,18,528
2311,120,8,1062
4794,40,8,610
858,160,10,999
4893,40,14,394
5828,210,8,1298
524,75,14,831
4138,40,14,360
2380,160,8,810
5649,75,18,423
2346,60,14,448
1529,120,10,652
2353,75,8,749
4234,40,18,353
804,160,14,1102
4939,60,20,400
1196,60,6,639
3738,160,20,1000
3303,40,20,241
2685,75,20,472
2763,75,8,851
4251,60,8,1030
3082,60,18,559
6072,75,18,464
5151,210,8,1018
2573,210,8,893
2590,40,6,550
3998,40,8,504
6028,60,6,953
5812,40,14,484
3596,60,8,768
775,120,18,935
1232,75,6,667
3871,160,20,714
4512,210,6,1135
3973,120,10,676
5423,75,10,475
4807,210,18,867
476,120,20,967
3092,75,18,767
5320,120,14,514
2283,40,6,543
4148,120,8,871
5686,120,10,600
5689,120,10,532
5821,210,8,1486
163,40,14,527
1791,60,6,569
3027,40,20,435
3024,75,10,799
203,75,10,544
4015,75,14,472
5050,120,10,610
5943,120,10,1105
2660,40,18,376
3135,40,8,598
1030,160,20,611
1939,40,20,654
2553,160,18,798
1126,75,14,769
867,210,18,1001
4206,75,18,473
1910,75,20,327
349,120,10,734
2827,40,8,541
1446,120,20,649
4648,210,8,1170
2262,210,8,696
1314,60,8,544
1775,160,8,695
2216,60,10,422
2734,210,8,1044
3953,160,10,816
4418,40,20,324
2955,40,14,495
4265,75,18,536
4932,60,20,463
4463,75,20,421
1678,160,10,688
2345,60,14,600
2154,40,14,399
3886,210,6,1081
1421,210,18,814
1854,60,8,456
1063,75,18,636
3284,120,8,840
2649,120,6,849
2603,75,6,960
4856,60,6,601
6018,120,18,577
5682,160,20,523
2705,60,6,680
395,210,10,1065
4826,75,20,560
4384,210,10,1032
2858,160,10,1108
4501,160,8,655
4264,75,18,539
3254,210,6,1002
488,75,18,764
1354,60,14,513
4284,60,20,560
5122,210,10,696
4370,75,6,1017
3208,60,18,432
2899,60,20,866
1328,40,10,623
4771,60,14,450
1651,210,14,657
470,120,10,658
3961,40,10,681
4641,120,18,674
5197,40,8,512
371,120,14,714
2653,120,6,799
3101,75,18,504
1691,40,10,390
2255,210,8,1377
4611,60,6,584
54,75,20,778
5366,75,18,423
3942,75,6,702
3621,60,6,966
1387,40,14,537
6043,75,8,1240
409,40,20,632
2071,120,14,598
1108,210,10,962
850,160,8,1000
3642,75,8,784
1250,75,8,652
415,75,8,849
3714,160,6,1158
1871,120,6,814
4276,40,18,502
2426,75,14,542
2129,120,10,984
1360,60,14,520
1608,60,10,593
4211,75,18,439
2131,120,10,689
1289,40,8,553
3064,75,14,704
1877,160,14,639
4570,160,18,616
6047,75,8,1050
3758,75,10,794
4515,210,6,1050
2402,160,10,810
6040,75,8,905
2755,160,14,1024
1200,60,6,665
571,120,8,691
324,60,8,770
5868,40,20,461
113,160,20,882
2905,60,10,831
3415,120,18,400
4170,120,6,641
2579,120,8,808
1470,120,6,849
2771,120,10,1378
399,210,10,1072
1600,210,8,737
844,60,20,706
3413,120,18,530
2554,160,18,823
2965,60,8,623
2973,60,8,941
1195,60,6,696
5153,210,8,673
1675,210,20,697
905,40,20,510
238,160,6,1065
3158,40,18,453
1460,120,14,608
2494,60,10,657
2403,160,10,869
1932,75,20,425
6052,210,6,946
4162,160,8,938
294,60,10,720
4717,40,18,504
1660,75,14,624
1814,120,8,536
4929,210,6,1000
2351,75,8,647
1852,60,8,462
106,75,6,1008
5429,75,10,513
3128,120,10,830
13,75,14,910
4106,40,20,395
4941,40,20,375
1277,75,10,656
625,60,6,1103
543,120,14,815
4230,40,18,346
842,60,20,738
5226,75,20,394
2405,160,10,823
1418,210,18,761
5390,40,18,349
3530,210,8,1111
5085,160,10,917
592,120,6,967
1639,40,6,553
836,60,20,593
1590,120,20,535
3500,60,10,1002
3956,40,10,720
1980,160,10,1319
1847,60,8,360
38,210,20,927
465,120,10,802
959,60,10,742
3155,40,18,381
5805,120,14,992
661,210,14,865
1752,40,18,286
4039,60,6,703
1732,60,18,417
787,60,14,754
1027,160,20,768
2333,120,18,557
133,120,18,673
4854,60,6,739
3345,210,18,760
4479,40,14,371
2146,60,20,391
491,75,18,832
5309,210,14,887
5576,210,10,729
4054,75,10,640
4903,160,20,494
1038,75,8,728
3969,120,10,648
1089,120,14,708
882,120,8,861
2191,160,6,1083
1899,75,10,428
1407,160,6,936
2117,120,6,883
5130,210,10,663
5632,120,18,456
3288,160,8,871
70,60,14,710
1938,75,20,561
2160,40,14,402
4528,75,8,609
1567,120,18,511
331,75,18,567
5635,120,18,441
2485,120,10,672
3918,160,18,650
1497,75,20,488
2903,60,20,804
6095,60,14,526
3930,160,6,1048
3163,75,6,1142
1887,210,10,738
4507,160,20,664
4472,40,14,350
2320,120,18,481
4104,60,18,463
1000,210,6,1288
534,75,20,789
1094,120,14,750
6035,120,6,1094
1777,160,8,728
3078,60,18,501
851,160,8,848
3114,120,14,728
1374,210,6,855
794,40,18,786
3180,40,10,698
2892,160,8,993
3852,210,14,804
1064,75,18,680
6026,60,6,809
5325,40,14,393
21,75,14,634
988,60,18,456
4958,160,14,704
4555,75,10,522
6165,160,10,939
3909,60,8,527
4060,75,10,704
5534,40,10,389
3593,60,8,665
5434,60,10,526
5575,210,10,873
3162,75,6,1441
2803,40,6,655
5853,160,6,1216
942,75,10,712
4262,75,18,642
3019,75,10,527
111,160,20,690
5142,160,18,496
1984,160,10,799
5997,160,8,866
2571,210,8,1000
4117,120,14,614
4945,40,20,399
5214,40,6,554
2970,60,8,847
967,60,10,634
91,60,18,424
1670,210,20,584
1950,60,18,657
2099,75,6,753
5183,75,10,448
4731,120,10,866
6118,210,18,689
2434,210,10,894
1203,60,6,530
1417,210,18,743
4709,120,8,721
3807,40,14,485
3880,210,6,801
1386,160,10,753
4920,210,6,917
2491,60,10,701
2276,210,18,744
816,75,6,778
419,75,8,856
3392,120,20,601
2885,160,8,766
1392,40,14,494
1175,40,18,488
1627,75,8,506
5664,210,6,886
