,distance,width,movement_time
117,600,80,426
540,600,40,597
99,200,25,287
202,700,80,630
167,500,25,890
393,300,30,430
640,200,80,133
46,300,50,223
18,400,40,247
381,300,30,443
323,600,30,823
652,200,20,350
367,500,50,471
350,500,30,540
658,200,20,311
316,600,30,950
114,200,25,282
666,200,20,313
223,300,80,223
156,500,25,787
695,300,40,277
369,500,50,550
70,500,80,316
646,200,80,86
194,300,20,656
91,400,25,541
100,200,25,343
542,600,40,596
254,200,30,190
6,400,40,252
467,700,40,706
37,500,40,357
11,400,40,269
192,300,20,637
157,500,25,797
8,400,40,228
613,700,20,1257
532,400,20,620
257,600,20,1174
406,200,50,163
635,200,80,160
95,400,25,563
699,300,40,256
525,400,20,531
364,500,50,513
347,500,30,693
71,500,80,392
704,300,40,229
2,400,40,290
569,600,50,548
106,200,25,363
42,300,50,253
550,600,40,510
67,500,80,270
375,300,30,416
427,700,30,924
414,200,50,150
291,500,20,823
410,200,50,164
113,200,25,367
566,600,50,486
190,300,20,683
301,700,50,670
526,400,20,607
453,300,25,319
472,700,40,710
321,600,30,893
460,700,40,634
83,400,25,577
582,400,80,287
299,700,50,696
523,400,20,583
511,600,25,893
530,400,20,600
38,500,40,430
353,500,30,743
620,400,50,300
416,700,30,870
292,500,20,790
441,300,25,410
653,200,20,306
614,400,50,310
294,500,20,789
277,500,20,963
512,600,25,680
314,700,50,679
705,300,40,243
431,700,30,773
499,600,25,936
548,600,40,563
522,400,20,683
232,300,80,240
506,600,25,853
101,200,25,307
430,700,30,930
449,300,25,413
685,700,25,1070
225,300,80,220
184,300,20,707
172,500,25,907
152,200,40,261
66,500,80,370
557,600,50,630
41,300,50,297
438,300,25,467
122,600,80,456
197,700,80,610
308,700,50,707
466,700,40,665
239,200,30,253
706,300,40,297
132,600,80,472
617,400,50,233
546,600,40,559
214,700,80,587
610,700,20,1432
313,700,50,660
334,600,30,673
329,600,30,767
176,300,20,632
477,400,30,523
564,600,50,516
247,200,30,240
531,400,20,523
143,200,40,253
544,600,40,543
636,200,80,137
309,700,50,683
689,700,25,949
634,200,80,120
3,400,40,306
379,300,30,427
45,300,50,248
235,300,80,243
554,600,40,477
484,400,30,495
518,400,20,683
541,600,40,577
57,300,50,261
22,500,40,326
486,400,30,520
251,200,30,267
246,200,30,190
591,400,80,273
538,600,40,610
383,300,30,430
494,400,30,577
394,300,30,427
263,600,20,927
131,600,80,403
413,200,50,147
457,700,40,830
33,500,40,393
14,400,40,313
324,600,30,774
276,500,20,1032
402,200,50,197
295,700,50,683
362,500,50,476
507,600,25,963
409,200,50,167
174,500,25,832
135,600,80,463
426,700,30,907
638,200,80,119
677,700,25,1020
641,200,80,143
358,500,50,494
252,200,30,200
267,600,20,980
368,500,50,457
468,700,40,637
553,600,40,466
408,200,50,174
15,400,40,280
420,700,30,974
335,500,30,603
391,300,30,419
355,500,50,530
682,700,25,1127
345,500,30,623
622,400,50,313
17,400,40,257
44,300,50,260
162,500,25,931
284,500,20,883
181,300,20,580
62,500,80,379
164,500,25,779
693,300,40,370
603,700,20,1791
421,700,30,933
651,200,80,126
382,300,30,466
337,500,30,693
609,700,20,1321
510,600,25,840
663,200,20,260
344,500,30,656
356,500,50,446
475,400,30,530
535,600,40,590
318,600,30,847
527,400,20,536
579,400,80,323
186,300,20,650
597,700,20,1724
423,700,30,857
141,200,40,246
200,700,80,587
80,400,25,597
558,600,50,523
681,700,25,987
149,200,40,270
533,400,20,565
630,400,50,241
599,700,20,1449
56,300,50,220
259,600,20,1099
503,600,25,843
127,600,80,420
584,400,80,267
451,300,25,436
346,500,30,634
59,300,50,226
285,500,20,800
78,500,80,403
287,500,20,1013
96,400,25,613
13,400,40,230
480,400,30,496
487,400,30,580
213,700,80,549
52,300,50,250
98,400,25,607
585,400,80,253
312,700,50,699
669,200,20,260
32,500,40,399
697,300,40,267
565,600,50,534
179,300,20,724
673,700,25,1163
85,400,25,552
297,700,50,617
643,200,80,127
543,600,40,536
333,600,30,710
656,200,20,298
126,600,80,510
51,300,50,240
208,700,80,636
77,500,80,450
625,400,50,300
662,200,20,253
572,600,50,393
559,600,50,510
396,200,50,173
65,500,80,296
580,400,80,296
68,500,80,414
315,600,30,894
679,700,25,1088
529,400,20,587
220,300,80,271
34,500,40,446
288,500,20,856
588,400,80,296
331,600,30,752
516,400,20,677
435,300,25,465
616,400,50,361
474,700,40,697
583,400,80,363
482,400,30,486
708,300,40,229
300,700,50,723
81,400,25,540
619,400,50,183
224,300,80,204
260,600,20,1097
615,400,50,280
587,400,80,227
4,400,40,236
270,600,20,1004
629,400,50,294
691,700,25,927
567,600,50,560
520,400,20,637
24,500,40,313
473,700,40,827
298,700,50,646
351,500,30,683
275,500,20,883
631,400,50,287
443,300,25,434
119,600,80,416
305,700,50,737
256,600,20,1167
25,500,40,322
125,600,80,476
684,700,25,1137
138,200,40,297
570,600,50,495
76,500,80,400
31,500,40,317
185,300,20,623
412,200,50,150
317,600,30,974
84,400,25,644
448,300,25,374
536,600,40,579
479,400,30,449
5,400,40,303
242,200,30,253
380,300,30,373
556,600,50,536
447,300,25,400
27,500,40,322
539,600,40,549
581,400,80,217
103,200,25,343
547,600,40,520
73,500,80,413
296,700,50,717
439,300,25,400
517,400,20,583
92,400,25,630
434,700,30,905
601,700,20,1270
618,400,50,293
471,700,40,673
293,500,20,916
478,400,30,584
644,200,80,99
365,500,50,553
311,700,50,691
204,700,80,646
219,300,80,310
189,300,20,633
212,700,80,551
455,700,40,670
371,500,50,390
47,300,50,277
690,700,25,880
549,600,40,510
118,600,80,474
236,200,30,290
16,400,40,260
273,600,20,1083
116,200,25,393
196,700,80,606
702,300,40,263
376,300,30,419
568,600,50,523
153,200,40,217
144,200,40,265
283,500,20,913
442,300,25,493
177,300,20,756
676,700,25,1207
234,300,80,202
302,700,50,680
674,700,25,1350
151,200,40,230
606,700,20,1393
459,700,40,610
79,400,25,613
193,300,20,580
694,300,40,307
115,200,25,327
545,600,40,527
575,400,80,280
121,600,80,460
377,300,30,453
470,700,40,630
217,300,80,283
328,600,30,696
577,400,80,290
72,500,80,337
272,600,20,953
244,200,30,173
680,700,25,1133
352,500,30,630
108,200,25,356
205,700,80,643
490,400,30,503
159,500,25,977
385,300,30,424
165,500,25,963
671,200,20,269
462,700,40,603
632,400,50,266
43,300,50,253
21,500,40,267
206,700,80,587
602,700,20,1287
668,200,20,273
488,400,30,573
105,200,25,309
158,500,25,844
182,300,20,767
281,500,20,896
360,500,50,487
327,600,30,790
642,200,80,150
169,500,25,940
405,200,50,240
415,700,30,912
574,400,80,267
594,700,20,1206
481,400,30,480
64,500,80,379
688,700,25,910
401,200,50,226
218,300,80,323
683,700,25,1050
104,200,25,362
10,400,40,241
645,200,80,176
560,600,50,563
207,700,80,597
465,700,40,626
248,200,30,239
342,500,30,576
