key,width,height,x_mm,y_mm
a,2.9750073,4.02501,4.02501,9.625024
b,2.9750073,4.02501,18.900047,13.650034
c,2.9750073,4.02501,12.950032,13.650034
d,2.9750073,4.02501,9.975025,9.625024
e,2.9750073,4.02501,8.487521,5.6000137
f,2.9750073,4.02501,12.950032,9.625024
g,2.9750073,4.02501,15.925039,9.625024
h,2.9750073,4.02501,18.900047,9.625024
i,2.9750073,4.02501,23.362558,5.6000137
j,2.9750073,4.02501,21.875053,9.625024
k,2.9750073,4.02501,24.850061,9.625024
l,2.9750073,4.02501,27.82507,9.625024
m,2.9750073,4.02501,24.850061,13.650034
n,2.9750073,4.02501,21.875053,13.650034
o,2.9750073,4.02501,26.337564,5.6000137
p,2.9750073,4.02501,29.312572,5.6000137
q,2.9750073,4.02501,2.5375063,5.6000137
r,2.9750073,4.02501,11.462528,5.6000137
s,2.9750073,4.02501,7.000017,9.625024
t,2.9750073,4.02501,14.437536,5.6000137
u,2.9750073,4.02501,20.38755,5.6000137
v,2.9750073,4.02501,15.925039,13.650034
w,2.9750073,4.02501,5.5125136,5.6000137
x,2.9750073,4.02501,9.975025,13.650034
y,2.9750073,4.02501,17.412542,5.6000137
z,2.9750073,4.02501,7.000017,13.650034
 ,9.012523,4.02501,12.950032,17.675043
